Gene	Co-expression	Co-translation	Interactome
Zm00001d028438	0	0	1
Zm00001d022616	0	0	1
Zm00001d033483	0	0	1
Zm00001d043669	0	0	1
Zm00001d037695	0	0	1
Zm00001d025024	0	0	1
Zm00001d029889	0	0	1
Zm00001d037988	0	0	1
Zm00001d044845	0	0	1
Zm00001d009055	0	0	1
Zm00001d012127	0	0	1
Zm00001d010714	1	1	1
Zm00001d043942	0	1	1
Zm00001d049605	0	0	1
Zm00001d025866	1	0	1
Zm00001d045403	0	0	1
Zm00001d053150	0	0	1
Zm00001d033108	0	0	1
Zm00001d021652	0	0	1
Zm00001d036620	0	0	1
Zm00001d002185	0	0	1
Zm00001d036959	0	0	1
Zm00001d013780	0	0	1
Zm00001d024544	0	0	1
Zm00001d021615	0	0	1
Zm00001d029527	0	0	1
Zm00001d005276	0	0	1
Zm00001d019481	0	0	1
Zm00001d044164	0	0	1
Zm00001d046913	0	0	1
Zm00001d052698	0	0	1
Zm00001d013141	0	0	1
Zm00001d039590	0	0	1
Zm00001d029653	0	0	1
Zm00001d013228	0	0	1
Zm00001d011767	0	0	1
Zm00001d000417	0	0	1
Zm00001d011188	0	0	1
Zm00001d036340	0	1	1
Zm00001d031212	0	1	1
Zm00001d039020	0	0	1
Zm00001d015251	0	0	1
Zm00001d027394	0	0	1
Zm00001d024386	0	0	1
Zm00001d008312	0	0	1
Zm00001d021452	0	0	1
Zm00001d030509	0	0	1
Zm00001d017617	0	0	1
Zm00001d017502	0	0	1
Zm00001d021389	0	0	1
Zm00001d044035	0	0	1
Zm00001d029973	0	0	1
Zm00001d008390	0	0	1
Zm00001d043474	0	0	1
Zm00001d019789	0	0	1
Zm00001d017857	0	0	1
Zm00001d021445	0	0	1
Zm00001d009978	0	0	1
Zm00001d012598	0	0	1
Zm00001d002718	0	0	1
Zm00001d035560	0	0	1
Zm00001d052958	0	0	1
Zm00001d043815	0	0	1
Zm00001d012818	0	0	1
Zm00001d011680	0	0	1
Zm00001d021057	0	0	1
Zm00001d021999	0	0	1
